zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Aries,How do I break free from career stagnation?,Page of Swords,Page of Wands,Seven of Wands,"Reading:  Aries, your curiosity (Page of Swords) and passion (Page of Wands) are key.  Use them to overcome challenges (Seven of Wands).  Explore new skills and be assertive to advance your career.",profession,NEGATIVE,POSITIVE
Leo,Is entrepreneurship right for me?,Four of Cups,Ace of Pentacles,The Hanged Man,"Reading:  Leo, you're feeling a bit bored and uninspired (Four of Cups) but a grounded new opportunity awaits (Ace of Pentacles). You need a new perspective before jumping in (The Hanged Man).  Consider all angles before making a decision.",profession,NEGATIVE,POSITIVE
Aquarius,Will I find a new job soon?,Six of Swords,Two of Pentacles,The Devil,"Aquarius, your cards suggest a transition is coming, but it may involve juggling competing priorities or difficult choices. You're moving away from old challenges, but some unhealthy attachments could hold you back.  Focus on balancing your needs to smoothly navigate this change.",profession,NEGATIVE,NEGATIVE
Sagittarius,Why do I feel stuck in my job?,Page of Wands,The Lovers,Queen of Pentacles,"Sagittarius, your Page of Wands shows a desire for exciting new work, while The Lovers reveals a need for better work-life balance. The Queen of Pentacles suggests you have the skills to create stability in a new role. Explore options that blend passion and practicality.",profession,NEGATIVE,POSITIVE
Leo,Am I ready for a leadership role?,Queen of Cups,Page of Cups,The Hermit,"Reading:  Leo, the Queen and Page of Cups show you have the emotional intelligence and creative spark. The Hermit suggests you need more introspection before stepping up.  Reflect on your readiness before committing.",profession,NEGATIVE,POSITIVE
Aquarius,Will I find a new job soon?,Knight of Pentacles,Four of Swords,Judgement,"Aquarius, the Knight of Pentacles shows a steady, practical approach will bring opportunities. The Four of Swords suggests you need rest before making any decisions. Judgement signals a new beginning is coming after reflection.  Take your time and consider all options carefully.",profession,NEGATIVE,POSITIVE
Sagittarius,What is my soul’s mission in the professional world?,Ace of Pentacles,The Fool,Two of Wands,"Reading:  Sagittarius, your soul seeks to start fresh with a practical new venture (Ace of Pentacles, The Fool).  You are considering different paths, full of potential (Two of Wands).  Embrace the unknown and take a leap of faith.",profession,POSITIVE,POSITIVE
Gemini,Should I change my career path?,Five of Wands,Page of Pentacles,Six of Cups,Reading:  The Five of Wands suggests some current career conflicts.  The Page of Pentacles encourages exploring new skills and opportunities. The Six of Cups hints at finding satisfaction by revisiting a past interest. Consider exploring options that blend your skills with something you've enjoyed before.,profession,NEGATIVE,POSITIVE
Virgo,How do I break free from career stagnation?,Three of Cups,Eight of Swords,Three of Wands,"Reading:  Virgo, the Three of Cups suggests finding support in your network.  The Eight of Swords shows you're feeling limited, but that's a mindset you can change.  The Three of Wands indicates it's time to explore new opportunities.  Look outward for collaborative ventures or a new direction.",profession,NEGATIVE,POSITIVE
Aquarius,What does the future hold for my career?,Five of Pentacles,Page of Cups,Eight of Pentacles,"Aquarius, you may face some financial challenges or feel overlooked at work.  A new opportunity or creative project is on the horizon, requiring dedicated effort.  Focus on developing your skills to achieve future success. Put in the work now, and it will pay off later.",profession,NEGATIVE,POSITIVE
Taurus,What should I focus on to grow my career?,Five of Pentacles,Queen of Swords,Six of Cups,"Reading:  Taurus, the Five of Pentacles suggests addressing a current skill gap.  The Queen of Swords points to clear communication and strategic thinking.  The Six of Cups hints at leveraging past experiences and networks.  Look back to move forward.",profession,NEGATIVE,POSITIVE
Scorpio,Will I find a new job soon?,The High Priestess,Ace of Pentacles,Queen of Cups,"Reading:  Scorpio, your intuition (High Priestess) points to a promising new opportunity (Ace of Pentacles) that aligns with your emotional needs (Queen of Cups).  A job offer looks likely. Trust your gut and go for it.",profession,NEGATIVE,POSITIVE
Capricorn,What do I need to learn to progress professionally?,Six of Swords,Three of Wands,Queen of Cups,"Capricorn, the Six of Swords suggests leaving old ways behind. The Three of Wands shows new horizons opening with broader vision.  The Queen of Cups encourages trusting your intuition as you explore these. Embrace the changes ahead to grow.",profession,NEGATIVE,POSITIVE
Cancer,Is my current job aligned with my purpose?,Six of Swords,Four of Wands,Eight of Swords,"Reading:  The Six of Swords suggests you're transitioning away from something that no longer serves you. The Four of Wands indicates stability and celebration in a new environment, while the Eight of Swords hints at feeling limited in your current role. Explore new opportunities that better fit your values.",profession,NEGATIVE,NEGATIVE
Pisces,Is now a good time to start my own business?,The World,Queen of Cups,Five of Wands,"Reading:  The World suggests you have the skills and resources.  The Queen of Cups encourages you to trust your intuition.  However, the Five of Wands hints at some upcoming competition.  Carefully assess the market before jumping in.",profession,POSITIVE,POSITIVE
Leo,Is my leadership being acknowledged?,The High Priestess,The Empress,Page of Swords,"Reading:  Leo, your intuition (High Priestess) and nurturing leadership (Empress) are noticed, but clear communication is key (Page of Swords).  Some may not fully grasp your vision yet.  Speak up and clarify your direction.",profession,NEGATIVE,POSITIVE
Leo,What changes should I make in my work life?,Four of Pentacles,Page of Cups,The Magician,"Reading:  Leo, you're holding onto resources too tightly.  Open yourself to new learning and creative ideas. You have all the tools to make exciting changes.  Loosen your grip and embrace the new.",profession,NEGATIVE,POSITIVE
Sagittarius,How can I find more fulfillment in my work?,Ten of Wands,Five of Wands,Page of Swords,"Reading:  You're feeling burdened and facing conflict at work, Sagittarius. The Page of Swords suggests researching new skills or approaches.  Consider delegating tasks or seeking a fresh perspective to find more fulfillment.",profession,NEGATIVE,NEGATIVE
Pisces,Am I working in the right environment?,Ten of Cups,Nine of Swords,The Fool,"Pisces, the Ten of Cups suggests you desire an ideal work environment.  However, the Nine of Swords highlights anxieties you're experiencing. The Fool encourages a fresh start.  Consider exploring new opportunities.",profession,POSITIVE,POSITIVE
Taurus,What do I need to learn to progress professionally?,Four of Pentacles,Nine of Pentacles,Nine of Cups,"Taurus, you need to loosen your grip on resources and be open to abundance (Four of Pentacles, Nine of Pentacles).  Embrace collaboration and enjoy the process of achieving your goals (Nine of Cups).  Loosen up and enjoy the journey to success.",profession,NEGATIVE,POSITIVE
Pisces,How can I shine more in my workplace?,Eight of Pentacles,Ten of Cups,Five of Pentacles,"Pisces, the Eight of Pentacles shows you're dedicated, but the Five of Pentacles suggests you're overlooking your value.  The Ten of Cups hints that collaboration brings fulfillment.  Focus on teamwork and highlighting your contributions.",profession,POSITIVE,POSITIVE
Aquarius,Am I working in the right environment?,Nine of Wands,Three of Wands,Queen of Pentacles,"Reading:  Aquarius, you're almost there, but feeling guarded (Nine of Wands).  New opportunities are coming, broaden your horizons (Three of Wands). You have the skills to succeed, trust your practicality (Queen of Pentacles).  Keep pushing forward, but stay open to other options.",profession,POSITIVE,POSITIVE
Sagittarius,Is a career change the right decision now?,Ace of Pentacles,Ace of Cups,Ten of Wands,"Reading:  The Aces suggest fresh starts in both your finances and emotions, creating a solid foundation.  However, the Ten of Wands indicates your current situation is demanding.  Changing careers could add more stress right now. Consider waiting for a less overwhelming time.",profession,POSITIVE,POSITIVE
Cancer,Should I invest in further education or training?,Ten of Cups,Seven of Cups,Ace of Wands,"Reading:  The Ten of Cups suggests you'll find emotional fulfillment through learning.  The Seven of Cups hints at many exciting possibilities, but choose wisely. The Ace of Wands indicates that starting fresh will bring creative energy.  Think about what truly makes you happy and go for it.",profession,NEGATIVE,POSITIVE
Capricorn,What do I need to learn to progress professionally?,Knight of Wands,Five of Pentacles,The Emperor,"Reading:  Capricorn, the Knight of Wands encourages you to be bolder and take initiative.  The Five of Pentacles suggests you address any feelings of inadequacy or lack.  The Emperor indicates a need to develop leadership and strategic thinking skills.  Take charge and trust your abilities.",profession,NEGATIVE,POSITIVE
Pisces,What is the lesson in my current job experience?,Seven of Pentacles,Five of Swords,Page of Swords,"Reading:  The Seven of Pentacles suggests you're putting in the work, but the Five of Swords shows conflict and the need to stand your ground. The Page of Swords hints at needing to communicate your ideas clearly and honestly.  Learn to assert yourself and your needs in a professional way.",profession,NEGATIVE,POSITIVE
Cancer,Am I being recognized for my efforts at work?,The Hanged Man,Ace of Wands,King of Swords,"Cancer, The Hanged Man suggests you need a new perspective to see your contributions. The Ace of Wands and King of Swords show potential for new projects and clear communication.  Focus on sharing your ideas effectively.",profession,NEGATIVE,POSITIVE
Pisces,Is my current job aligned with my purpose?,The Moon,Seven of Cups,Queen of Wands,"Reading:  Pisces, The Moon suggests some confusion around your career path. The Seven of Cups and Queen of Wands indicate you have many exciting options and the power to pursue them.  Explore what truly motivates you.",profession,NEGATIVE,POSITIVE
Sagittarius,Is my leadership being acknowledged?,The Hierophant,The Devil,The Fool,"Reading:  You're playing by the rules (Hierophant), but something is holding you back (Devil).  It's time for a fresh start (Fool).  Take a leap of faith and showcase your skills more directly.",profession,NEGATIVE,POSITIVE
Capricorn,What is my soul’s mission in the professional world?,Eight of Swords,The Empress,Page of Pentacles,"Reading:  Capricorn, you may feel limited now, but you have powerful creative potential (Eight of Swords, The Empress).  Start small and learn practical skills to build towards your vision (Page of Pentacles). Explore opportunities that allow nurturing and growth.",profession,POSITIVE,POSITIVE
Sagittarius,Should I invest in further education or training?,Temperance,Page of Pentacles,Three of Swords,"Temperance suggests a balanced approach is key, while the Page of Pentacles encourages practical skill-building.  The Three of Swords hints at some emotional hurdles related to this decision. Carefully weigh the pros and cons before committing.",profession,NEGATIVE,POSITIVE
Leo,What is the energy surrounding my next career move?,Queen of Wands,Seven of Pentacles,Strength,"Reading:  Leo, your next career move is fueled by your natural leadership (Queen of Wands) but requires patience (Seven of Pentacles). You have the inner strength to handle the challenges (Strength).  Trust your instincts and stay focused.",profession,POSITIVE,POSITIVE
Aries,Will I receive financial rewards from my work?,Knight of Pentacles,Ten of Wands,Temperance,"Aries, the Knight of Pentacles shows steady progress, but the Ten of Wands suggests you're feeling overburdened. Temperance encourages balance to achieve your goals.  Find ways to manage your workload for better results.",profession,POSITIVE,POSITIVE
Capricorn,What is blocking my career growth?,Two of Pentacles,The High Priestess,Seven of Pentacles,"Capricorn, you're juggling too much and neglecting your intuition.  This makes long-term planning difficult, slowing your progress.  Focus on one thing and trust your gut.",profession,NEGATIVE,NEGATIVE
Aries,What is blocking my career growth?,Ace of Swords,Three of Cups,Five of Wands,"Aries, the Ace of Swords shows a new idea is needed.  The Three of Cups suggests you prioritize collaboration over competition. However, the Five of Wands reveals conflict is holding you back.  Focus on teamwork and creative problem-solving.",profession,NEGATIVE,POSITIVE
Aries,How do I break free from career stagnation?,Two of Wands,The Magician,The Star,"Aries, the Two of Wands shows you're at a crossroads.  The Magician and The Star confirm you have the skills and inspiration for a new path. Trust your gut and make a bold move.",profession,NEGATIVE,POSITIVE
Cancer,Should I relocate for better opportunities?,Six of Wands,The Hermit,Nine of Pentacles,"Reading:  The Six of Wands suggests success if you go. The Hermit indicates a need for careful, solo planning first. The Nine of Pentacles shows this move could bring financial security.  Think it through, and success is likely.",profession,NEGATIVE,POSITIVE
Aries,What career decision will bring me the most peace?,Six of Wands,Knight of Swords,Eight of Wands,"Reading:  Aries, the Six of Wands suggests a career where your leadership is recognized.  The Knight of Swords points to a fast-paced, intellectual field.  The Eight of Wands shows quick development and movement in your chosen path.  Consider a career requiring quick thinking and leadership.",profession,POSITIVE,POSITIVE
Scorpio,Am I undervaluing my professional worth?,Six of Swords,Five of Cups,Five of Swords,"Reading:  Scorpio, you're moving on from a difficult work situation, but still feeling some disappointment.  This transition might feel like a loss, but don't let it define your worth.  Know your value and advocate for yourself.",profession,NEGATIVE,NEGATIVE
Aries,How can I achieve work-life balance?,Two of Wands,King of Wands,The Hermit,"Aries, the Two and King of Wands show you have vision and drive, but The Hermit suggests needing solo time to recharge.  Plan your week thoughtfully, including downtime. Prioritize self-care for balance.",profession,NEGATIVE,POSITIVE
Aquarius,How do I break free from career stagnation?,The Chariot,The Empress,Queen of Swords,Reading:  The Chariot suggests taking control and driving towards new opportunities.  The Empress and Queen of Swords encourage nurturing your ideas and communicating assertively.  Focus on your goals and make bold moves.,profession,NEGATIVE,POSITIVE
Libra,What is the lesson in my current job experience?,Two of Wands,Judgement,The Moon,"Libra, the Two of Wands, Judgement, and The Moon suggest you're at a crossroads, reevaluating your path while facing some uncertainties. You're learning to balance planning with adapting to the unknown.  Trust your intuition as you move forward.",profession,NEGATIVE,POSITIVE
Libra,What career decision will bring me the most peace?,Three of Cups,The High Priestess,Five of Wands,"Libra, the Three of Cups suggests a collaborative and joyful career path. The High Priestess and Five of Wands indicate trusting your intuition amidst minor conflicts. Choose the option that balances collaboration and your inner knowing.",profession,POSITIVE,POSITIVE
Cancer,What hidden talents can I apply to my profession?,The Sun,Three of Cups,The Chariot,"Reading:  Cancer, The Sun reveals your natural radiance and optimism.  The Three of Cups suggests you can use your collaborative and joyful spirit at work.  The Chariot points to your self-discipline and focus to achieve goals.  Trust your joyful leadership abilities.",profession,NEGATIVE,POSITIVE
Leo,Is this job a stepping stone or long-term opportunity?,The Chariot,Five of Cups,King of Cups,"Leo, The Chariot suggests you're driven towards bigger things.  Five of Cups shows some disappointment might come with this role. However, the King of Cups indicates you can manage those emotions maturely.  Focus on your long-term goals.",profession,NEGATIVE,POSITIVE
Capricorn,How can I be more confident in my career path?,Page of Wands,Six of Cups,Five of Pentacles,"Capricorn, the Page of Wands sparks your beginner's mind—embrace new skills. The Six of Cups invites you to draw on past successes for motivation.  The Five of Pentacles suggests focusing on what you *do* have, not what you lack.  Remember, you've got this.",profession,NEGATIVE,POSITIVE
Sagittarius,What skills should I develop to advance?,Six of Wands,The Hanged Man,The Empress,"Reading:  The Six of Wands points to developing leadership and communication skills. The Hanged Man suggests taking a new perspective and embracing patience.  The Empress encourages nurturing your creativity and practical skills.  Focus on a blend of vision, reflection, and action.",profession,NEGATIVE,POSITIVE
Aries,What does the future hold for my career?,Knight of Pentacles,Five of Swords,The Magician,"Reading:  The Knight of Pentacles shows steady progress, but the Five of Swords suggests upcoming competition. The Magician reminds you that you have all the tools for success. Stay focused and resourceful to navigate challenges.",profession,NEGATIVE,POSITIVE
Sagittarius,How can I align my career with my passions?,The Devil,Ten of Cups,Ten of Swords,Reading:  The Devil suggests you're stuck in a career that doesn't fulfill you. The Ten of Cups shows your ideal career involves emotional satisfaction and close collaboration. The Ten of Swords signifies a necessary ending before pursuing this fulfilling path.  Let go of what no longer serves you and pursue collaborative work you love.,profession,NEGATIVE,NEGATIVE
Virgo,Is now a good time to start my own business?,Two of Wands,Seven of Cups,Six of Pentacles,"Virgo, the Two of Wands shows you're ready to take charge.  The Seven of Cups suggests you carefully evaluate your options first.  The Six of Pentacles points towards sharing your skills and resources with others.  Think about collaborations before going completely solo.",profession,POSITIVE,POSITIVE
Gemini,How do my coworkers truly see me?,Seven of Pentacles,Three of Wands,Four of Wands,"Gemini, your coworkers see your dedication (Seven of Pentacles) and forward-thinking nature (Three of Wands), which contributes to a positive team atmosphere (Four of Wands). They appreciate your hard work and vision.  Keep nurturing those collaborative relationships.",profession,NEGATIVE,POSITIVE
Libra,Am I being recognized for my efforts at work?,The Chariot,Wheel of Fortune,Five of Cups,"Reading:  Libra, The Chariot and Wheel of Fortune show your hard work is gaining momentum and bringing positive change.  However, the Five of Cups suggests you're still focusing on past disappointments.  Keep your eyes forward, your efforts are being noticed.",profession,NEGATIVE,POSITIVE
Capricorn,Will my current project be successful?,Page of Pentacles,Two of Wands,Eight of Cups,"Reading:  Capricorn, the Page of Pentacles shows you're learning and putting in the work.  The Two of Wands suggests you're considering other options, while the Eight of Cups indicates you might move on.  Consider what truly fulfills you.",profession,POSITIVE,POSITIVE
Aries,Will my hard work pay off soon?,Page of Pentacles,Knight of Swords,Nine of Cups,"Aries, the Page of Pentacles shows your dedication, but the Knight of Swords suggests some impatience. The Nine of Cups indicates that your wishes are likely to manifest, just not instantly.  Stay focused and trust the process.",profession,NEGATIVE,POSITIVE
Virgo,What does the future hold for my career?,Knight of Swords,Nine of Swords,Five of Pentacles,"Reading:  Virgo, your career path looks a bit bumpy. You might face some tough decisions and sleepless nights worrying about security.  A period of hardship may be ahead, but don't let it discourage you from pursuing your goals.  Stay focused and resourceful.",profession,NEGATIVE,POSITIVE
Pisces,Should I relocate for better opportunities?,Eight of Swords,The High Priestess,The Tower,"Pisces, you feel trapped, but unseen factors are at play.  A sudden change is coming, dismantling your current structures.  Consider relocating, but prepare for unexpected disruptions.  Trust your intuition to navigate the shift.",profession,NEGATIVE,POSITIVE
Pisces,What should I focus on to grow my career?,Nine of Cups,Strength,Five of Cups,"Reading:  Pisces, the Nine of Cups suggests you're close to achieving a career goal, so keep pursuing it.  Strength shows you have the inner power to overcome challenges, while the Five of Cups reminds you to let go of past disappointments. Focus on your strengths and don't dwell on setbacks.",profession,NEGATIVE,POSITIVE
Virgo,What changes should I make in my work life?,The Sun,Four of Swords,Four of Wands,"Reading:  The Sun suggests embracing optimism and celebrating small wins. The Four of Swords encourages a period of rest to gain clarity. The Four of Wands indicates stability and establishing a supportive framework at work.  Take a break to reflect, then return with renewed energy to build something great.",profession,NEGATIVE,POSITIVE
Libra,Should I invest in further education or training?,The World,Eight of Pentacles,The Hermit,"Libra, The World shows you completing a cycle, suggesting readiness.  The Eight of Pentacles points to the dedication required for mastering a new skill. The Hermit encourages careful self-reflection before leaping. Consider your long-term goals before deciding.",profession,NEGATIVE,POSITIVE
Aries,What guidance do the cards offer for my professional growth?,The Fool,Seven of Wands,Eight of Cups,"Reading:  Aries, you're ready to leap into something new (The Fool).  Defend your ideas and stand your ground (Seven of Wands).  Don't be afraid to leave something behind to move forward (Eight of Cups).  Embrace the unknown and go for it.",profession,NEGATIVE,POSITIVE
Taurus,Am I on the right path professionally?,Two of Swords,Six of Swords,Seven of Wands,"Reading:  You're facing a tough choice, Taurus, and moving away from a difficult situation.  You'll need to defend your choices, but you're headed towards smoother waters. Trust your gut, and keep going.",profession,POSITIVE,POSITIVE
Taurus,Will I receive financial rewards from my work?,Eight of Swords,Four of Wands,Five of Pentacles,"Taurus, the Eight of Swords suggests you feel stuck, but the Four of Wands hints at upcoming stability.  The Five of Pentacles shows some financial worries are likely to persist.  Focus on building a secure foundation to ease money concerns.",profession,POSITIVE,POSITIVE
Aquarius,Will I get the promotion I desire?,Six of Cups,Seven of Swords,The Devil,"Reading:  The Six of Cups suggests you're looking back, maybe at past successes.  The Seven of Swords and The Devil indicate some sneaky competition or tricky office politics.  Focus on honesty and integrity to overcome these obstacles.",profession,NEGATIVE,POSITIVE
Aries,How can I align my career with my passions?,Seven of Pentacles,Ten of Wands,Four of Wands,"Reading:  Aries, the Seven of Pentacles suggests you need patience as you cultivate your passions into a career.  The Ten of Wands reveals you may be feeling burdened by current responsibilities. The Four of Wands indicates a stable foundation is forming.  Focus on building slowly and steadily.",profession,NEGATIVE,POSITIVE
Capricorn,What do I need to learn to progress professionally?,Six of Pentacles,Ace of Pentacles,Page of Cups,"Capricorn, the Six of Pentacles suggests sharing your expertise more generously.  The Ace and Page of Pentacles point to embracing new financial opportunities and staying open to learning.  Be receptive to fresh perspectives to advance your career.",profession,NEGATIVE,POSITIVE
Sagittarius,Is this job a stepping stone or long-term opportunity?,Eight of Swords,Nine of Swords,Two of Pentacles,"Reading:  You feel stuck and anxious about this job, likely due to juggling responsibilities. This role might not be your dream job, but it offers valuable experience. Consider it a temporary stepping stone for now and keep your options open.",profession,NEGATIVE,POSITIVE
Capricorn,Will my current project be successful?,Three of Pentacles,Six of Pentacles,Seven of Wands,"Capricorn, your project shows promise through teamwork (Three of Pentacles) and giving back (Six of Pentacles), but expect some competition (Seven of Wands). You'll need to assert yourself to achieve your goals.  Stay focused and collaborative.",profession,POSITIVE,POSITIVE
Taurus,What is the lesson in my current job experience?,Nine of Cups,Eight of Pentacles,Two of Pentacles,"Taurus, the Nine of Cups, Eight of Pentacles, and Two of Pentacles suggest you're learning to balance hard work with satisfaction and resource management.  You are mastering your skills but also juggling various responsibilities.  Focus on prioritizing what truly fulfills you for continued growth.",profession,NEGATIVE,POSITIVE
Aries,What type of work brings me joy and purpose?,Ten of Swords,Five of Swords,Seven of Wands,"Aries, these cards suggest you find joy overcoming challenges, even if it involves some conflict.  You're likely to thrive in roles where you can defend your ideas.  Consider fields requiring quick thinking and resilience.  Don't be afraid to stand your ground.",profession,POSITIVE,POSITIVE
Leo,Will my efforts at work be rewarded soon?,The Magician,Temperance,The Star,"Reading:  Leo, The Magician shows you have the skills, and Temperance suggests balancing work and life. The Star promises hope and recognition, so yes, your efforts will likely pay off.  Keep up the good work but avoid burnout.",profession,NEGATIVE,POSITIVE
Aquarius,What skills should I develop to advance?,Ten of Swords,The Magician,Seven of Cups,"Aquarius, the Ten of Swords suggests letting go of outdated approaches. The Magician and Seven of Cups show you have the power to manifest diverse skills, so explore your options.  Focus on what truly excites you to unlock your potential.",profession,NEGATIVE,POSITIVE
Cancer,Will my current project be successful?,Ten of Wands,Seven of Swords,Eight of Cups,"Cancer, the Ten of Wands suggests this project feels heavy but nearing completion. The Seven of Swords hints at some tricky shortcuts or compromises you might be tempted to take.  The Eight of Cups shows you're ready to move on, regardless of the outcome.  Focus on finishing strong, even if it means letting go of some initial goals.",profession,POSITIVE,POSITIVE
Aquarius,What skills should I develop to advance?,Judgement,Two of Wands,Four of Swords,"Judgment suggests reflecting on past experiences to identify strengths.  The Two of Wands encourages planning and exploring new skill sets, particularly in leadership.  The Four of Swords reminds you that rest and mental clarity are crucial for effective learning. Take some time to recharge before diving in.",profession,NEGATIVE,POSITIVE
Gemini,Will I find success in a creative field?,Ten of Cups,Six of Pentacles,Queen of Cups,"Gemini, the Ten of Cups, Six of Pentacles, and Queen of Cups suggest emotional fulfillment and balanced giving/receiving in your creative pursuits. You'll likely find success through collaboration and nurturing your emotional intelligence. Trust your intuition and share your gifts generously.",profession,POSITIVE,POSITIVE
Aries,What is the energy surrounding my next career move?,Three of Pentacles,Three of Cups,Eight of Cups,"Reading:  Your next career move involves teamwork and collaboration (Three of Pentacles).  There's a sense of community and celebration around it (Three of Cups), yet you might feel a pull to leave something behind (Eight of Cups).  Follow your intuition, but don't burn bridges.",profession,POSITIVE,POSITIVE
Aries,What guidance do the cards offer for my professional growth?,The High Priestess,The Emperor,Page of Pentacles,"Reading:  Aries, trust your intuition (High Priestess) and build a structured plan (Emperor).  Take a practical approach to learning new skills (Page of Pentacles).  Focus on steady progress.",profession,NEGATIVE,POSITIVE
Aries,Why do I feel stuck in my job?,Three of Pentacles,Two of Wands,Nine of Pentacles,"Aries, the Three of Pentacles shows you're good at your job, but the Two of Wands suggests you're unsure about your overall career path.  The Nine of Pentacles highlights your desire for independence and achievement.  Focus on long-term career goals, not just the day-to-day.",profession,NEGATIVE,POSITIVE
Aries,What should I focus on to grow my career?,Two of Pentacles,The World,Queen of Wands,"Aries, the Two of Pentacles suggests better work-life balance.  The World and Queen of Wands point to embracing new opportunities and showing your leadership skills.  Focus on juggling your responsibilities while confidently taking charge.",profession,NEGATIVE,POSITIVE
Pisces,Should I relocate for better opportunities?,Judgement,Queen of Pentacles,Ace of Wands,"Judgement suggests an honest self-assessment is needed.  The Queen of Pentacles highlights your resourcefulness wherever you are. The Ace of Wands shows potential for new beginnings, regardless of location.  Consider what truly fulfills you, not just external opportunities.",profession,NEGATIVE,POSITIVE
Pisces,What should I focus on to grow my career?,Ten of Cups,King of Pentacles,Three of Swords,"Pisces, the Ten of Cups suggests prioritizing work-life balance for career growth.  The King of Pentacles points to practical skills and financial stability as key focus areas.  However, the Three of Swords reveals some painful truths or difficult choices may be necessary.  Find a balance between your personal life and pragmatic career moves.",profession,NEGATIVE,POSITIVE
Pisces,Should I invest in further education or training?,The Devil,Death,Four of Cups,"Pisces, The Devil, Death, and Four of Cups suggest you're stuck and need a change, but you're resisting it.  Further education could be good, but only if it breaks you from old patterns. Think carefully before committing.",profession,NEGATIVE,NEGATIVE
Libra,What is blocking my career growth?,Ten of Wands,The Sun,Nine of Cups,"Reading:  You're feeling overburdened and this is limiting your joy.  The Sun shows a brighter future, but you need to prioritize your own happiness first.  Let go of some responsibilities to reach your goals.",profession,NEGATIVE,NEGATIVE
Virgo,What is the lesson in my current job experience?,Eight of Pentacles,King of Swords,Six of Cups,"Reading:  Virgo, the Eight of Pentacles shows you're developing valuable skills.  The King of Swords suggests clear communication is key. The Six of Cups indicates reflecting on past experiences will help. Focus on honing your skills and communicating effectively.",profession,NEGATIVE,POSITIVE
Capricorn,How can I overcome challenges at work?,Seven of Pentacles,The Emperor,Nine of Swords,"Capricorn, the Seven of Pentacles suggests you need patience with current projects.  The Emperor advises you to take charge and assert your authority.  The Nine of Swords indicates work stress you need to address.   Focus on long-term goals and don't let worries control you.",profession,NEGATIVE,POSITIVE
Pisces,What hidden talents can I apply to my profession?,Three of Pentacles,Six of Wands,Nine of Wands,"Reading:  Pisces, the Three of Pentacles shows you're good at teamwork and collaboration.  The Six of Wands suggests a hidden leadership talent. The Nine of Wands reveals resilience you can use to overcome challenges. Combine these skills for career success.",profession,NEGATIVE,POSITIVE
Pisces,Is fear holding me back from professional success?,Three of Pentacles,The Sun,Knight of Swords,"Pisces, the Three of Pentacles shows you have the skills, and The Sun highlights your potential.  The Knight of Swords suggests you're overthinking and need to act.  Collaborate and go for it!",profession,NEGATIVE,POSITIVE
Scorpio,Am I ready for a leadership role?,Page of Swords,King of Swords,Judgement,"Reading:  Scorpio, the Page of Swords shows your eagerness to learn, while the King demonstrates leadership potential.  Judgement confirms it's time to step up, but stay open to feedback.  Embrace this new chapter with a thoughtful and balanced approach.",profession,NEGATIVE,POSITIVE
Scorpio,What changes should I make in my work life?,The Sun,The Magician,The Hermit,"Reading:  Scorpio, The Sun illuminates your potential for joy and success at work. The Magician shows you have the skills, so embrace your power and take charge. The Hermit suggests stepping back for some self-reflection to prioritize your needs.  Trust your intuition, and you'll find the right path.",profession,NEGATIVE,POSITIVE
Leo,Will my current project be successful?,Page of Cups,Queen of Wands,King of Wands,"Reading:  Leo, the Page of Cups suggests you're approaching this project with fresh enthusiasm. The Queen and King of Wands show leadership and confidence will be key. Keep your passion ignited, and you'll likely see positive results.",profession,POSITIVE,POSITIVE
Aries,Is this job a stepping stone or long-term opportunity?,Seven of Pentacles,The Emperor,The Hanged Man,"Reading:  The Seven of Pentacles suggests you're putting in the work but need patience.  The Emperor shows this job offers stability and structure you crave, Aries.  The Hanged Man advises taking time to reflect before deciding.  Consider if it aligns with your long-term ambitions.",profession,NEGATIVE,POSITIVE
Pisces,How can I be more confident in my career path?,Page of Pentacles,King of Wands,Nine of Pentacles,"Reading:  Pisces, the Page of Pentacles encourages practical learning and skill-building. The King of Wands suggests embracing leadership and bold action in your field. The Nine of Pentacles reflects the potential for independent success. Invest in your professional development to achieve your career goals.",profession,NEGATIVE,POSITIVE
Aquarius,How can I be more confident in my career path?,Strength,Death,Ten of Wands,"Aquarius, Strength shows you have the inner power.  Death suggests letting go of old career ideas. The Ten of Wands implies you're carrying too much; delegate or prioritize.  Focus your energy on what truly excites you.",profession,NEGATIVE,POSITIVE
Leo,Is my leadership being acknowledged?,Two of Cups,Knight of Pentacles,Strength,"Leo, the Two of Cups suggests you're building solid partnerships. The Knight of Pentacles and Strength show your reliability and controlled power are noticed.  Keep steadily working and demonstrating your capable leadership.",profession,NEGATIVE,POSITIVE
Leo,Will I find a new job soon?,Eight of Wands,Three of Swords,Queen of Cups,"Leo, things are moving quickly, but some emotional baggage might hold you back.  Trust your intuition and allow yourself to be vulnerable in interviews. Focus on balancing your ambition with your emotional needs as you search.",profession,NEGATIVE,POSITIVE
Aries,Will my current project be successful?,Six of Pentacles,Page of Wands,The High Priestess,"Aries, the Six of Pentacles suggests resources are flowing well for your project. The Page of Wands shows creative energy and new ideas will boost things. The High Priestess hints that trusting your intuition is key.  Keep a balance between practical work and trusting your gut.",profession,POSITIVE,POSITIVE
